TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,cluster
02-05-2025,26.4,32.0,28.9,84,0.0,7.8,6,60,3,E,1
03-05-2025,26.3,32.5,28.9,86,0.0,8.0,7,50,4,NE,1
04-05-2025,27.2,32.2,29.1,85,0.1,8.0,6,70,3,NE,1
05-05-2025,26.6,32.2,28.8,87,0.1,6.8,7,40,3,NE,1
06-05-2025,26.0,32.1,28.5,84,0.0,6.3,8,50,3,NE,1
07-05-2025,26.0,29.8,26.7,93,0.1,7.5,4,220,2,SW,0
08-05-2025,25.2,30.4,27.4,91,33.8,0.4,5,60,2,SW,0
09-05-2025,25.3,30.2,27.4,93,1.9,1.1,5,80,1,SW,0
10-05-2025,25.3,32.4,28.0,87,8.2,1.7,7,60,3,NE,0
11-05-2025,25.1,31.7,27.8,89,1.4,7.1,4,70,2,E,0
12-05-2025,25.6,28.6,26.8,95,16.6,2.1,4,70,2,SW,0
13-05-2025,25.6,31.5,28.0,90,1.7,0.0,4,140,2,SW,0
14-05-2025,26.2,31.9,28.2,88,0.0,4.9,4,50,2,C,0
15-05-2025,25.6,30.7,27.5,89,0.7,3.8,4,60,1,C,0
16-05-2025,26.3,32.4,28.4,87,0.0,1.9,5,50,2,SW,0
17-05-2025,25.2,32.9,28.4,87,20.6,5.0,8,180,3,SW,1
18-05-2025,26.2,32.4,29.6,82,1.5,5.6,7,60,4,NE,1
19-05-2025,25.8,31.8,28.6,87,7.0,8.0,8,50,3,E,1
20-05-2025,26.8,33.0,29.8,81,0.0,8.0,9,50,4,NE,1
21-05-2025,27.1,31.4,28.5,88,0.0,8.0,5,60,2,NE,1
22-05-2025,24.6,31.6,28.0,87,31.2,2.5,5,70,2,SW,0
23-05-2025,25.7,32.5,28.7,83,0.0,8.0,7,40,3,E,1
24-05-2025,26.6,31.6,28.2,90,0.0,8.0,9,60,4,NE,1
25-05-2025,26.8,32.8,29.4,88,0.0,3.4,8,60,4,NE,1
26-05-2025,26.6,32.8,29.2,83,0.0,8.0,7,50,3,E,1
27-05-2025,26.4,31.9,28.7,87,0.0,8.0,6,60,2,E,1
28-05-2025,26.3,33.0,28.9,85,0.0,8.0,5,60,2,NE,1
29-05-2025,27.6,33.2,29.4,84,0.2,7.5,4,50,2,SE,1
30-05-2025,25.6,32.4,28.5,87,9.6,5.4,8,40,3,NE,1
31-05-2025,26.4,32.2,29.2,86,0.6,8.0,7,50,3,NE,1
